rank,name,long_name,short_name,ticker,country,sector,industry,exchange_code,exchange_name,market,quote_type,listing_currency,hq_city,hq_state,hq_country,website,employees,founded_year,first_trade_date,market_cap_04_08_2025,price_04_08_2025,market_cap_current,price_current,price_file_hourly,hourly_rows,hourly_start,hourly_end,price_file_daily,daily_rows,daily_start,daily_end,data_available
131,SEALSQ,SEALSQ Corp,SEALSQ Corp,LAES,Switzerland,Technology,Semiconductors,NMS,NasdaqGS,us_market,EQUITY,USD,Cointrin,,Switzerland,https://www.sealsq.com,185.0,2022.0,2023-05-23,417891360,2.98,670549760.0,3.01,price/Switzerland/LAES.csv,5043,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/Switzerland/LAES.csv,810,2023-05-23 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
132,Arteris,"Arteris, Inc.","Arteris, Inc.",AIP,United States,Technology,Semiconductors,NGM,NasdaqGM,us_market,EQUITY,USD,Campbell,CA,United States,https://www.arteris.com,364.0,2003.0,2021-10-27,379898208,9.05,1391987584.0,28.32,price/United_States/AIP.csv,5081,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/AIP.csv,1203,2021-10-27 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
133,Aeluma,"Aeluma, Inc.","Aeluma, Inc.",ALMU,United States,Technology,Semiconductors,NCM,NasdaqCM,us_market,EQUITY,USD,Goleta,CA,United States,https://www.aeluma.com,12.0,2019.0,2023-02-28,328862304,20.82,337184288.0,18.42,price/United_States/ALMU.csv,3423,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/ALMU.csv,869,2023-02-28 00:00:00-05:00,2026-08-14 00:00:00-04:00,True
134,Weebit Nano,Weebit Nano Limited,WEEBITNANO FPO [WBT],WBT.AX,Australia,Technology,Semiconductors,ASX,ASX,au_market,EQUITY,AUD,Sydney,NSW,Australia,https://www.weebit-nano.com,,2010.0,2010-12-20,325155840,1.46956,1067499392.0,4.44,price/Australia/WBT.AX.csv,5064,2023-09-27 10:00:00+10:00,2026-08-14 16:00:00+10:00,price_daily/Australia/WBT.AX.csv,3956,2010-12-21 00:00:00+11:00,2026-08-14 00:00:00+10:00,True
135,BrainChip,BrainChip Holdings Ltd,BRAINCHIP FPO [BRN],BRN.AX,Australia,Technology,Semiconductors,ASX,ASX,au_market,EQUITY,AUD,Sydney,NSW,Australia,https://brainchip.com,71.0,,2011-11-08,284262758,0.128909,327043648.0,0.135,price/Australia/BRN.AX.csv,5043,2023-09-27 10:00:00+10:00,2026-08-14 16:00:00+10:00,price_daily/Australia/BRN.AX.csv,3737,2011-11-09 00:00:00+11:00,2026-08-14 00:00:00+10:00,True
136,Xperi,Xperi Inc.,Xperi Inc.,XPER,United States,Technology,Software - Application,NYQ,NYSE,us_market,EQUITY,USD,San Jose,CA,United States,https://xperi.com,1380.0,2019.0,2022-09-20,264985184,5.8,328722080.0,6.74,price/United_States/XPER.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/XPER.csv,979,2022-09-20 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
137,Valens Semiconductor,Valens Semiconductor Ltd.,Valens Semiconductor Ltd.,VLN,Israel,Technology,Semiconductors,NYQ,NYSE,us_market,EQUITY,USD,Hod HaSharon,,Israel,https://www.valens.com,233.0,2006.0,2021-09-30,250499776,2.38,210048656.0,1.94,price/Israel/VLN.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/Israel/VLN.csv,1223,2021-09-30 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
138,Wolfspeed,"Wolfspeed, Inc.","Wolfspeed, Inc.",WOLF,United States,Technology,Semiconductors,NYQ,NYSE,us_market,EQUITY,USD,Durham,NC,United States,https://www.wolfspeed.com,3434.0,1987.0,2025-09-29,236553056,1.52,1652193152.0,31.79,price/United_States/WOLF.csv,1535,2025-09-29 10:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/WOLF.csv,221,2025-09-29 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
139,Sequans Communications,Sequans Communications S.A.,Sequans Communications S.A.,SQNS,France,Technology,Semiconductors,NYQ,NYSE,us_market,EQUITY,USD,Paris,,France,https://www.sequans.com,171.0,2003.0,2011-04-19,178395008,1.25,45232548.0,3.02,price/France/SQNS.csv,4977,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/France/SQNS.csv,3853,2011-04-19 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
140,Atomera,Atomera Incorporated,Atomera Incorporated,ATOM,United States,Technology,Semiconductor Equipment & Materials,NCM,NasdaqCM,us_market,EQUITY,USD,Los Gatos,CA,United States,https://atomera.com,21.0,2001.0,2016-08-08,143081104,4.66,218534624.0,5.6,price/United_States/ATOM.csv,5081,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/ATOM.csv,2518,2016-08-08 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
141,Everspin Technologies,"Everspin Technologies, Inc.","Everspin Technologies, Inc.",MRAM,United States,Technology,Semiconductors,NGM,NasdaqGM,us_market,EQUITY,USD,Chandler,AZ,United States,https://www.everspin.com,85.0,2008.0,2016-10-07,135029072,6.01,459728128.0,18.88,price/United_States/MRAM.csv,5079,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/MRAM.csv,2476,2016-10-07 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
142,IQE plc,IQE plc,IQE PLC ORD 1P,IQE.L,United Kingdom,Technology,Semiconductor Equipment & Materials,LSE,LSE,gb_market,EQUITY,GBp,Cardiff,,United Kingdom,https://www.iqep.com,460.0,1988.0,2000-05-19,126162086,0.128263,619595776.0,46.55,price/United_Kingdom/IQE.L.csv,6518,2023-09-27 08:00:00+01:00,2026-08-14 16:00:00+01:00,price_daily/United_Kingdom/IQE.L.csv,6676,2000-05-19 00:00:00+01:00,2026-08-14 00:00:00+01:00,True
143,centrotherm international,centrotherm international AG,centrotherm international AG  I,CTNK.F,Germany,Technology,Semiconductors,FRA,Frankfurt,dr_market,EQUITY,EUR,Blaubeuren,,Germany,https://www.centrotherm.de,741.0,1948.0,2007-10-12,121973486,5.76369,195752016.0,9.25,price/Germany/CTNK.F.csv,1277,2023-09-29 11:00:00+02:00,2026-08-14 08:00:00+02:00,price_daily/Germany/CTNK.F.csv,4780,2007-10-12 00:00:00+02:00,2026-08-14 00:00:00+02:00,True
144,Magnachip,Magnachip Semiconductor Corporation,Magnachip Semiconductor Corpora,MX,Luxembourg,Technology,Semiconductors,NYQ,NYSE,us_market,EQUITY,USD,Cheongju-Si,,South Korea,https://www.magnachip.com,711.0,2003.0,2011-03-11,106748256,2.96,139103520.0,3.81,price/Luxembourg/MX.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/Luxembourg/MX.csv,3880,2011-03-11 00:00:00-05:00,2026-08-14 00:00:00-04:00,True
145,Quicklogic,QuickLogic Corporation,QuickLogic Corporation,QUIK,United States,Technology,Semiconductors,NCM,NasdaqCM,us_market,EQUITY,USD,San Jose,CA,United States,https://www.quicklogic.com,51.0,1988.0,1999-10-18,97708736,6.17,233712160.0,12.76,price/United_States/QUIK.csv,5067,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/QUIK.csv,6747,1999-10-18 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
146,inTEST Corporation,InTest Corporation,inTest Corporation,INTT,United States,Technology,Semiconductor Equipment & Materials,ASE,NYSE American,us_market,EQUITY,USD,Mount Laurel,NJ,United States,https://www.intest.com,385.0,1981.0,1997-06-17,88324096,7.07,179176240.0,13.97,price/United_States/INTT.csv,5046,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/INTT.csv,7336,1997-06-17 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
147,AXT Inc,"AXT, Inc.",AXT Inc,AXTI,United States,Technology,Semiconductor Equipment & Materials,NMS,NasdaqGS,us_market,EQUITY,USD,Fremont,CA,United States,https://www.axt.com,1541.0,1986.0,1998-05-21,87559104,1.92,5353396736.0,81.64,price/United_States/AXTI.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/AXTI.csv,7102,1998-05-21 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
148,GCT Semiconductor,"GCT Semiconductor Holding, Inc.","GCT Semiconductor Holding, Inc.",GCTS,United States,Technology,Semiconductors,NYQ,NYSE,us_market,EQUITY,USD,San Jose,CA,United States,https://www.gctsemi.com,126.0,1998.0,2021-12-27,74175432,1.33,181180368.0,1.97,price/United_States/GCTS.csv,4163,2024-03-26 15:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/GCTS.csv,1163,2021-12-27 00:00:00-05:00,2026-08-14 00:00:00-04:00,True
149,Amtech Systems,"Amtech Systems, Inc.","Amtech Systems, Inc.",ASYS,United States,Technology,Semiconductor Equipment & Materials,NMS,NasdaqGS,us_market,EQUITY,USD,Tempe,AZ,United States,https://www.amtechsystems.com,264.0,1981.0,1983-08-09,65271840,4.56,280829952.0,16.04,price/United_States/ASYS.csv,4892,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/ASYS.csv,10839,1983-08-09 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
150,Pixelworks,"Pixelworks, Inc.","Pixelworks, Inc.",PXLW,United States,Technology,Semiconductors,NCM,NasdaqCM,us_market,EQUITY,USD,Portland,OR,United States,https://www.pixelworks.com,163.0,1997.0,2000-05-19,56552416,10.78,42224764.0,6.98,price/United_States/PXLW.csv,5018,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/PXLW.csv,6598,2000-05-19 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
151,Mobix Labs,"Mobix Labs, Inc.","Mobix Labs, Inc.",MOBX,United States,Technology,Semiconductors,NCM,NasdaqCM,us_market,EQUITY,USD,Irvine,CA,United States,https://www.mobixlabs.com,46.0,,2021-08-13,43760624,0.8189,19302320.0,1.27,price/United_States/MOBX.csv,4500,2023-12-22 09:30:00-05:00,2026-08-14 15:30:00-04:00,price_daily/United_States/MOBX.csv,1256,2021-08-13 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
152,Kalray,Kalray S.A.,KALRAY,ALKAL.PA,France,Technology,Semiconductors,PAR,Paris,fr_market,EQUITY,EUR,Montbonnot-Saint-Martin,,France,https://www.kalrayinc.com,92.0,2008.0,2018-06-12,8735389,0.714697,121094048.0,6.59,price/France/ALKAL.PA.csv,6309,2023-10-04 09:00:00+02:00,2026-08-14 17:00:00+02:00,price_daily/France/ALKAL.PA.csv,2094,2018-06-12 00:00:00+02:00,2026-08-14 00:00:00+02:00,True
